log_worked=true
source_log_lines=1430
total_result_lines=128
project_translation_units=24
project_cache_decisions=24
project_cache_hits=0
project_cache_misses=24
project_other_stage_results=24
project_cache_miss_pct=100.00

source	stage	output	hash_key	outcome
autogen/src/cuda/fmha/source_7.cu	nvcc_outer	source_7.cu.o	04fe49a39b984857bdc6a7d868464535779086ced521e7ec9eed931f03ff94d9	not cacheable
autogen/src/cuda/fmha/source_7.cu	module_id	source_7.module_id	84536f21857db87509f6fbf257368e5ca3b4e27ea78243308ee8204ba81b39f2	cache miss
autogen/src/cuda/fmha/source_7.cu	ptx	source_7.ptx	7796003fba47402da21ea3a277a5bf04abeb996d293c142e8448c26b2f042119	cache miss
autogen/src/cuda/fmha/source_7.cu	cubin	source_7.cubin	9f9cc2a5d4626094ae21f015ea14aab8d614e58faa7320ac958e3312146b514b	cache miss
autogen/src/cuda/fmha/source_7.cu	host	source_7.cu.o	c8d73bdd93e5628b18d3c4ae7b3ffd8c9bf1bde31a8bc96977e45244c664a477	cache miss
autogen/src/cuda/fna/source_1.cu	nvcc_outer	source_1.cu.o	92245a89c8c7a6f31e634d97448d7fa2afee46bfa14777f8d4b2b7715e90fd30	not cacheable
autogen/src/cuda/fna/source_1.cu	module_id	source_1.module_id	da5d02f94aebbf4e588860b2915fa28058b41b37d8a847ad0658c7fd89304985	cache miss
autogen/src/cuda/fna/source_1.cu	ptx	source_1.ptx	57464ca16a2d2eb3e8562de855bc53e3cb02d9a2edf826c5ef7d0dba825f4638	cache miss
autogen/src/cuda/fna/source_1.cu	cubin	source_1.cubin	09001680e5683e6df0d24b815c2d6e3965ad344cbf54c5443124d688d54c71cb	cache miss
autogen/src/cuda/fna/source_1.cu	host	source_1.cu.o	51869b78043548996611da84c007acf9c8c204c5eebbddf37b03aa4730886847	cache miss
autogen/src/cuda/fna/source_104.cu	nvcc_outer	source_104.cu.o	23680721979ccf4084bfd49bff6f4e8a93455e27df0d1e61bb5a1175efd49740	not cacheable
autogen/src/cuda/fna/source_104.cu	module_id	source_104.module_id	3a2aea3d44f81eec13c92838556d036956fe62a9e8259959f48be5f8c86e2417	cache miss
autogen/src/cuda/fna/source_104.cu	ptx	source_104.ptx	e4141d018975b098173665ea016b21fb667d4f4e954b18ce6e0fc5e756a440bf	cache miss
autogen/src/cuda/fna/source_104.cu	cubin	source_104.cubin	438394dca91736ef089da731683dba5171de216c2569d0331cba5a889c418054	cache miss
autogen/src/cuda/fna/source_104.cu	host	source_104.cu.o	f0e316842c0b3b2e9510aabca1a534fa1c41f26d19077026d7707ae890aee4ef	cache miss
autogen/src/cuda/fna/source_109.cu	nvcc_outer	source_109.cu.o	8a4ced39be33237240923285a5c6b5b2cbbc1dbee947c309656bd4d12ab6a2d1	not cacheable
autogen/src/cuda/fna/source_109.cu	module_id	source_109.module_id	53ecb5336a59b6c43401f48be8df514543dff7d67d05d15c3e3b25087e2e30f5	cache miss
autogen/src/cuda/fna/source_109.cu	ptx	source_109.ptx	5cf510444274ef33fb9156804337b010affc9d7565a33d5d75724c9eb6f921b7	cache miss
autogen/src/cuda/fna/source_109.cu	cubin	source_109.cubin	796872916d8f48fa6ac425262522a56fe501d769d20f6e93b3304404e7cea311	cache miss
autogen/src/cuda/fna/source_109.cu	host	source_109.cu.o	be4a161dcd04e9f5d4826462dc7fb8d6a488594c0bc747201e132fdbe0551108	cache miss
autogen/src/cuda/fna/source_11.cu	nvcc_outer	source_11.cu.o	8d883a61284bbf247af89e241ee06200800c926ad262719df838d5510301d825	not cacheable
autogen/src/cuda/fna/source_11.cu	module_id	source_11.module_id	19843b218a842866f26941aee650c00e0bbcd75e80c4dd0a636ff48b751932fb	cache miss
autogen/src/cuda/fna/source_11.cu	ptx	source_11.ptx	630bc09a0379f174bb0d8d0b505e10c1e50af70c64648b6ec6f8dddbd40db857	cache miss
autogen/src/cuda/fna/source_11.cu	cubin	source_11.cubin	460a51498dcd94accf2c59250fac3d1b3b4d7104a734543e94aac8d65dbe0e58	cache miss
autogen/src/cuda/fna/source_11.cu	host	source_11.cu.o	0822147deba3730cd7686f2a7eddf71e0a5d438c22b4900b285fb8a03c97663c	cache miss
autogen/src/cuda/fna/source_114.cu	nvcc_outer	source_114.cu.o	66842176f498c7f6ff97fd3496f859118bf25b1af86d03078a9458669f9ac847	not cacheable
