log_worked=true
source_log_lines=6152
total_result_lines=1018
project_translation_units=202
project_cache_decisions=202
project_cache_hits=202
project_cache_misses=0
project_other_stage_results=202
project_cache_miss_pct=0.00

source	stage	output	hash_key	outcome
autogen/src/cuda/fmha/source_0.cu	nvcc_outer	source_0.cu.o	7d9252694427cfc0d54f09dbbf0d70ac0aab38e62487b91f09c3a63d1f269e47	not cacheable
autogen/src/cuda/fmha/source_0.cu	module_id	source_0.module_id	f3d739d8b336a2e7c8e940d09feca0bcfd27f6924d13297acb079525a0238564	cache hit
autogen/src/cuda/fmha/source_0.cu	ptx	source_0.ptx	5e9668fbdbad18ccc56277d0a82702304e0e44cb9865a2d4139f2228d48d9e48	cache hit
autogen/src/cuda/fmha/source_0.cu	cubin	source_0.cubin	19dad17175fa9c8e2d15960a1b15b8e1590fc6f1cbedca5c5e8787473b1f708c	cache hit
autogen/src/cuda/fmha/source_0.cu	host	source_0.cu.o	073b9fa01cf3ba9b2073f0ff02feb6992f0249b9bdcb015938c4a5a8116a3b0b	cache hit
autogen/src/cuda/fmha/source_1.cu	nvcc_outer	source_1.cu.o	eb22118e08a88ea92f83067c7b828567b4100dc879db3f8e7242eb3b00439fb3	not cacheable
autogen/src/cuda/fmha/source_1.cu	module_id	source_1.module_id	fe887508bc1416b2b91b5da13d818f6e28f28c82ef171b778c4398f27cc7e2e3	cache hit
autogen/src/cuda/fmha/source_1.cu	ptx	source_1.ptx	8f2bb831aafee5e11474e3f8b5158f467f17c51478914b26044078aeb3d09688	cache hit
autogen/src/cuda/fmha/source_1.cu	cubin	source_1.cubin	6719870c16ed04032b6c3f96b5e9718797033209699a0966b8c8cf9233b445f7	cache hit
autogen/src/cuda/fmha/source_1.cu	host	source_1.cu.o	4b8b24a17259d8611091e6bf6224fbb39eb4ad2786f1d668b1171062ef5b7195	cache hit
autogen/src/cuda/fmha/source_10.cu	nvcc_outer	source_10.cu.o	66708bf4fda0780be882c326cd3751be460d18cb963469af74093a4972a9f9de	not cacheable
autogen/src/cuda/fmha/source_10.cu	module_id	source_10.module_id	59f2bde4e317daeef3d822426d78299486942275e4948beb618399a1b832a99a	cache hit
autogen/src/cuda/fmha/source_10.cu	ptx	source_10.ptx	f5990c6c85a9f0d8a48563024d256d98bf93c4f8b8a8e2e12f98e1ab8bd1041f	cache hit
autogen/src/cuda/fmha/source_10.cu	cubin	source_10.cubin	8c58ac7f0d78dde30fc9fbca50db1bb4bf8c0fe19aeb612c43273748ff56e28c	cache hit
autogen/src/cuda/fmha/source_10.cu	host	source_10.cu.o	9d87d61bf7f72b5d963bf755ed9bd135315c81004cf7df441e930778c0d70e10	cache hit
autogen/src/cuda/fmha/source_11.cu	nvcc_outer	source_11.cu.o	37082d16b2178def12052516dd4690b51685bbf2d5d217e3231af1ab1c7cd01f	not cacheable
autogen/src/cuda/fmha/source_11.cu	module_id	source_11.module_id	bc0e1e37ebf34db5387dbcb17239a3d663c74ff34603c5fe27f107b7a086e2c7	cache hit
autogen/src/cuda/fmha/source_11.cu	ptx	source_11.ptx	adb7e4400fe6ccac5b447180e7256e4db2482f4eb7f39ceac3b275c609a3a9ab	cache hit
autogen/src/cuda/fmha/source_11.cu	cubin	source_11.cubin	887cf1e951befebc78724b15561d867d9a797a107d6a79031b340f42fd70f554	cache hit
autogen/src/cuda/fmha/source_11.cu	host	source_11.cu.o	5911490524cd0911265eeec22fffbcb194e2c3500cde0d631ed62a146d248644	cache hit
autogen/src/cuda/fmha/source_2.cu	nvcc_outer	source_2.cu.o	6146f28fcff22f31f12372e2088300c56052a160c6edcb04d8c48aa63c3fbe0e	not cacheable
autogen/src/cuda/fmha/source_2.cu	module_id	source_2.module_id	336c03c68cce14522aff2189e2aeebe05d72e58a2a886d2f69b3e49dac3e4d9b	cache hit
autogen/src/cuda/fmha/source_2.cu	ptx	source_2.ptx	1213a9bc51af245add5ba2ece6fc505ca7dbdeb013b64b06cfd4404d41fd2eea	cache hit
autogen/src/cuda/fmha/source_2.cu	cubin	source_2.cubin	f7454a8ea196038dc8a0b5a7f3ef603d4166b24bdb974d5e9c85a0763f47f50a	cache hit
autogen/src/cuda/fmha/source_2.cu	host	source_2.cu.o	d057975a6d3a65aaf093ef31edb5a2987f6f0e1f073e035e51d984c18fbac033	cache hit
autogen/src/cuda/fmha/source_3.cu	nvcc_outer	source_3.cu.o	bd9f18e040e8df37d6b78d162f90b735ce45fb5cf6ba1efc353e3274a4041c96	not cacheable
autogen/src/cuda/fmha/source_3.cu	module_id	source_3.module_id	49b8de51de3839be4f63b02b019ac4ae6a9c6a5a09b7f3704593984ec5a828f8	cache hit
autogen/src/cuda/fmha/source_3.cu	ptx	source_3.ptx	b699b583c278145292713c4f32a0f163aa949a85c7e8178236f21403906c55d1	cache hit
autogen/src/cuda/fmha/source_3.cu	cubin	source_3.cubin	10f128ea7d1a31f61e0a61c27f459207b5073f9d88e120fa5609f4c78a8cd595	cache hit
autogen/src/cuda/fmha/source_3.cu	host	source_3.cu.o	cab652596505cab9e685a9d347b009be3cbeb8076f54fc09c8a559b41441976d	cache hit
autogen/src/cuda/fmha/source_4.cu	nvcc_outer	source_4.cu.o	00c96d64cf5a9bc7de83cd265d8627ca894db51658d9dca0fd816d545cbb33ad	not cacheable
autogen/src/cuda/fmha/source_4.cu	module_id	source_4.module_id	b6419f8f9399ef16ee8d8d2d9b0debf1b32a7e3d2acc428aeb489cf81714a92d	cache hit
autogen/src/cuda/fmha/source_4.cu	ptx	source_4.ptx	071662001e007c35a0c9a4aba27ac2cb709e1e419338e776a8e098707a5d0837	cache hit
autogen/src/cuda/fmha/source_4.cu	cubin	source_4.cubin	65909cf1c63df3b7f782aa7568ffd5335b2f36d4f5cbe80d412cc2a6009e57bf	cache hit
autogen/src/cuda/fmha/source_4.cu	host	source_4.cu.o	d7e69db4414c1b4a64ff40106ff9445ce3c6f48d8415315a9635c07ef713b504	cache hit
autogen/src/cuda/fmha/source_5.cu	nvcc_outer	source_5.cu.o	b0a60f8f34c30376e40b46672e0cdb4e2e074de462d7162ee377c5e462ad4549	not cacheable
autogen/src/cuda/fmha/source_5.cu	module_id	source_5.module_id	c4d9bc7735be181e4f7960953f5e95624aa1a0c66be01e56f1b741a109a84781	cache hit
autogen/src/cuda/fmha/source_5.cu	ptx	source_5.ptx	8a0503200ec97d1c233442687299da8dccb28962e68786c032e75d09fead4cbd	cache hit
autogen/src/cuda/fmha/source_5.cu	cubin	source_5.cubin	805fe250518880f0bf2f80c8b1e62dc4d722e87611e8ff01d7202febec7e69ce	cache hit
autogen/src/cuda/fmha/source_5.cu	host	source_5.cu.o	bb43424d3fcf5aeb611f91c40331ccd12880255565bbaceb9c9cb43e3a2f7a71	cache hit
autogen/src/cuda/fmha/source_6.cu	nvcc_outer	source_6.cu.o	0c306550863a757943a391fe007727c01cc25353d286c647133a3e5ec4e00fd5	not cacheable
autogen/src/cuda/fmha/source_6.cu	module_id	source_6.module_id	0408bd780f2ee6f490c5c733f15797ff757d44dc290cb5a0cc4f9703cb677fdb	cache hit
autogen/src/cuda/fmha/source_6.cu	ptx	source_6.ptx	311ded5f39bb7fb75472f48febe3c1d23b467edefa8ea55d7e3883bebf5f5086	cache hit
autogen/src/cuda/fmha/source_6.cu	cubin	source_6.cubin	3fb93aee867a63e98e6010db5cc2c3ac1faa17a1b0f9fe577cd364afbe4dd3f0	cache hit
autogen/src/cuda/fmha/source_6.cu	host	source_6.cu.o	65409313f64312c5b9f09e50787c2cd720e2320cf951c4f6e711fc8901db7fe7	cache hit
autogen/src/cuda/fmha/source_7.cu	nvcc_outer	source_7.cu.o	04fe49a39b984857bdc6a7d868464535779086ced521e7ec9eed931f03ff94d9	not cacheable
autogen/src/cuda/fmha/source_7.cu	module_id	source_7.module_id	84536f21857db87509f6fbf257368e5ca3b4e27ea78243308ee8204ba81b39f2	cache hit
autogen/src/cuda/fmha/source_7.cu	ptx	source_7.ptx	7796003fba47402da21ea3a277a5bf04abeb996d293c142e8448c26b2f042119	cache hit
autogen/src/cuda/fmha/source_7.cu	cubin	source_7.cubin	9f9cc2a5d4626094ae21f015ea14aab8d614e58faa7320ac958e3312146b514b	cache hit
autogen/src/cuda/fmha/source_7.cu	host	source_7.cu.o	c8d73bdd93e5628b18d3c4ae7b3ffd8c9bf1bde31a8bc96977e45244c664a477	cache hit
autogen/src/cuda/fmha/source_8.cu	nvcc_outer	source_8.cu.o	e5c121e76f894d5e0485b16c4339c16ead16817584a9859010016f2a02839e99	not cacheable
autogen/src/cuda/fmha/source_8.cu	module_id	source_8.module_id	39c7682efa5a603da0f1aa61634ed0d08d0aa44e4afd00a8ad8cd942dde79e79	cache hit
autogen/src/cuda/fmha/source_8.cu	ptx	source_8.ptx	ed9555c8f18432168c880b5386324ecfb56f36102eb67021fdd9e3dd7e14ae4f	cache hit
autogen/src/cuda/fmha/source_8.cu	cubin	source_8.cubin	80c2dbfcccff91f5582749715467017247b9b87b64d3e0c84ad8f7ce6e004d1f	cache hit
autogen/src/cuda/fmha/source_8.cu	host	source_8.cu.o	6ac59eebddc63d1b1f64363f2162037dff22073fc80d691baac1c9e7eb517b33	cache hit
autogen/src/cuda/fmha/source_9.cu	nvcc_outer	source_9.cu.o	640056b9ca048428aa41ae2835bc3db24348b04d31e3d85b7fd3692e825775d8	not cacheable
autogen/src/cuda/fmha/source_9.cu	module_id	source_9.module_id	41b0a56a77bb6e0f5395d3c9dd3bc17a41b37ab60c1acf8d6236d102d9764b9f	cache hit
autogen/src/cuda/fmha/source_9.cu	ptx	source_9.ptx	9f525ff7566de2f7c43d3aad4fd01b62b568942c30ded98896b87322b3ccd2a2	cache hit
autogen/src/cuda/fmha/source_9.cu	cubin	source_9.cubin	09df86b4ff7b7f2724cc15c9833d31d4c7f63f0eea5106edf2bc97f0fd04d326	cache hit
autogen/src/cuda/fmha/source_9.cu	host	source_9.cu.o	29c49f05461b3e9e5e60e949144cd4cdb2a7c2e5fc144d45d6259fd20fe96c6f	cache hit
autogen/src/cuda/fna/source_0.cu	nvcc_outer	source_0.cu.o	41ec3d887507644133da4b667ef932d7980bac1714cd980ea83640a6a88ebc2c	not cacheable
autogen/src/cuda/fna/source_0.cu	module_id	source_0.module_id	469a4aab3c89140acc37761c3dcbd0e9e857f4e088bad509fde8d05c034a0e3d	cache hit
autogen/src/cuda/fna/source_0.cu	ptx	source_0.ptx	9eb7f6239d14b378be247cb4cbd71e4fc0671cea1a9595782ccbbf0922b539d9	cache hit
autogen/src/cuda/fna/source_0.cu	cubin	source_0.cubin	e381b1662640f4c0715fcd64789f0cd1866249a50dbb3d103f149fd763290f8c	cache hit
autogen/src/cuda/fna/source_0.cu	host	source_0.cu.o	2c8e55ef9342291eb41de4addea67db18900ecfb986f5744651b2b42bb25256a	cache hit
autogen/src/cuda/fna/source_1.cu	nvcc_outer	source_1.cu.o	92245a89c8c7a6f31e634d97448d7fa2afee46bfa14777f8d4b2b7715e90fd30	not cacheable
autogen/src/cuda/fna/source_1.cu	module_id	source_1.module_id	da5d02f94aebbf4e588860b2915fa28058b41b37d8a847ad0658c7fd89304985	cache hit
autogen/src/cuda/fna/source_1.cu	ptx	source_1.ptx	57464ca16a2d2eb3e8562de855bc53e3cb02d9a2edf826c5ef7d0dba825f4638	cache hit
autogen/src/cuda/fna/source_1.cu	cubin	source_1.cubin	09001680e5683e6df0d24b815c2d6e3965ad344cbf54c5443124d688d54c71cb	cache hit
autogen/src/cuda/fna/source_1.cu	host	source_1.cu.o	51869b78043548996611da84c007acf9c8c204c5eebbddf37b03aa4730886847	cache hit
autogen/src/cuda/fna/source_10.cu	nvcc_outer	source_10.cu.o	acc96b55686ee1ff9334eec9052217bf76fac61b2bb861353cfbafcd8c279674	not cacheable
autogen/src/cuda/fna/source_10.cu	module_id	source_10.module_id	bd1bdff48ef811db7a9bdeba1e30e2103b887ffbdce72e83f97f0744853e5744	cache hit
autogen/src/cuda/fna/source_10.cu	ptx	source_10.ptx	047fac0872801265779eb622469518d71fa2e3e0d9c86ee29fc5b51c3f23d215	cache hit
autogen/src/cuda/fna/source_10.cu	cubin	source_10.cubin	aa611afae27d26a08270ea8b7f88b12f1894650c25e0ba43e1b97def882aab71	cache hit
